DT,HOL_NM
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2018-12-25T00:00:00.000Z,Christmas Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
2019-01-01T00:00:00.000Z,New Year's Day
